,AAPL,MSFT,XOM,GOOGL,BRK-B,JNJ,WFC,WMT,PG,JPM,AMZN,META,GE,BAC,V,TSLA,NVDA,UNH,LLY,AVGO,005930,005380,000660,005490,012330,017670,032830,035420,000270,090430,028260,051910,068270,207940,105560,055550,006400,035720,373220,^GSPC,^IXIC,^DJI,KS11,KS200
2023-01-18,135.2100067138672,235.80999755859375,110.61000061035156,91.12000274658203,308.29998779296875,169.75999450683594,43.380001068115234,46.9466667175293,146.41000366210938,136.57000732421875,95.45999908447266,133.02000427246094,63.26416778564453,33.720001220703125,219.4600067138672,128.77999877929688,17.37700080871582,476.239990234375,352.010009765625,57.42900085449219,60400.0,164500.0,85100.0,300000.0,209000.0,47250.0,71700.0,195500.0,64700.0,143500.0,118500.0,613000.0,143805.0,1167093.0,58500.0,42700.0,600147.0,61600.0,458000.0,3928.860107421875,10957.009765625,33296.9609375,2368.32,311.91
2023-01-19,135.27000427246094,231.92999267578125,111.31999969482422,93.05000305175781,305.2300109863281,169.52999877929688,42.95000076293945,46.276668548583984,142.4199981689453,134.75,93.68000030517578,136.14999389648438,61.340782165527344,33.22999954223633,220.41000366210938,127.16999816894531,16.764999389648438,484.3599853515625,351.0799865722656,56.321998596191406,61500.0,164000.0,85500.0,300500.0,208000.0,47450.0,72000.0,196000.0,64300.0,147000.0,119000.0,621000.0,143805.0,1178867.0,57200.0,42450.0,597210.0,60800.0,456000.0,3898.85009765625,10852.26953125,33044.55859375,2380.34,313.81
2023-01-20,137.8699951171875,240.22000122070312,113.3499984741211,98.0199966430664,309.8699951171875,168.74000549316406,43.91999816894531,46.8466682434082,142.97000122070312,135.0800018310547,97.25,139.3699951171875,61.99521255493164,33.849998474121094,224.30999755859375,133.4199981689453,17.839000701904297,486.7200012207031,346.07000732421875,57.077999114990234,61800.0,164500.0,87600.0,308500.0,209500.0,46900.0,71100.0,196000.0,64300.0,148500.0,119500.0,625000.0,142490.0,1177395.0,57000.0,43300.0,606021.0,61200.0,469500.0,3972.610107421875,11140.4296875,33375.48828125,2395.26,315.58
2023-01-23,141.11000061035156,242.5800018310547,112.76000213623047,99.79000091552734,310.4200134277344,168.30999755859375,45.029998779296875,47.54666519165039,141.0500030517578,137.27000427246094,97.5199966430664,143.27000427246094,63.6632080078125,34.31999969482422,224.17999267578125,143.75,19.19300079345703,485.80999755859375,342.2099914550781,58.16299819946289,,,,,,,,,,,,,,,,,,,,4019.81005859375,11364.41015625,33629.55859375,,
2023-01-24,142.52999877929688,242.0399932861328,113.80999755859375,97.69999694824219,311.29998779296875,168.30999755859375,44.45000076293945,47.67333221435547,141.82000732421875,138.4499969482422,96.31999969482422,143.13999938964844,64.40542602539062,34.56999969482422,223.88999938964844,143.88999938964844,19.264999389648438,491.6000061035156,346.3900146484375,58.50299835205078,,,,,,,,,,,,,,,,,,,,4016.949951171875,11334.26953125,33733.9609375,,
2023-01-25,141.86000061035156,240.61000061035156,113.20999908447266,95.22000122070312,311.8999938964844,169.50999450683594,45.34000015258789,47.4466667175293,141.72000122070312,139.1199951171875,97.18000030517578,141.5,64.47725677490234,34.869998931884766,224.89999389648438,144.42999267578125,19.322999954223633,492.5,349.7300109863281,58.56800079345703,63400.0,165700.0,91400.0,303000.0,212500.0,46100.0,71300.0,202000.0,65000.0,145600.0,118800.0,652000.0,144244.0,1174452.0,58500.0,44050.0,635392.0,62600.0,484000.0,4016.219970703125,11313.3603515625,33743.83984375,2428.57,320.76
2023-01-26,143.9600067138672,248.0,117.76000213623047,97.5199966430664,310.95001220703125,168.88999938964844,45.810001373291016,47.4033317565918,141.14999389648438,139.97999572753906,99.22000122070312,147.3000030517578,64.75658416748047,35.34000015258789,224.7100067138672,160.27000427246094,19.802000045776367,492.4800109863281,348.010009765625,59.858001708984375,63900.0,174900.0,92300.0,314000.0,219500.0,46350.0,71300.0,204000.0,69300.0,143400.0,119700.0,685000.0,144946.0,1170036.0,58900.0,44900.0,657910.0,63700.0,517000.0,4060.429931640625,11512.41015625,33949.41015625,2468.65,325.57
2023-01-27,145.92999267578125,248.16000366210938,115.61000061035156,99.37000274658203,309.1700134277344,168.22999572753906,46.119998931884766,47.766666412353516,140.57000732421875,140.32000732421875,102.23999786376953,151.74000549316406,66.4245834350586,35.45000076293945,231.44000244140625,177.89999389648438,20.364999771118164,486.04998779296875,342.1000061035156,59.0989990234375,64600.0,173900.0,91500.0,311500.0,214500.0,47850.0,72600.0,211500.0,68700.0,147400.0,120700.0,685000.0,146261.0,1190641.0,57700.0,44750.0,672595.0,64700.0,506000.0,4070.56005859375,11621.7099609375,33978.078125,2484.02,327.98
2023-01-30,143.0,242.7100067138672,113.55999755859375,96.94000244140625,307.3299865722656,162.0,46.290000915527344,47.383331298828125,141.00999450683594,139.1300048828125,100.55000305175781,147.05999755859375,64.5091781616211,35.29999923706055,229.10000610351562,166.66000366210938,19.16200065612793,485.7900085449219,340.5,58.14500045776367,63300.0,170000.0,90700.0,303500.0,206500.0,47050.0,70900.0,207000.0,68600.0,144700.0,118600.0,683000.0,143543.0,1181810.0,57300.0,43250.0,672595.0,63500.0,510000.0,4017.77001953125,11393.8095703125,33717.08984375,2450.47,322.67
2023-01-31,144.2899932861328,247.80999755859375,116.01000213623047,98.83999633789062,311.5199890136719,163.4199981689453,46.869998931884766,47.956668853759766,142.3800048828125,139.9600067138672,103.12999725341797,148.97000122070312,64.22985076904297,35.47999954223633,230.2100067138672,173.22000122070312,19.53700065612793,499.19000244140625,344.1499938964844,58.500999450683594,61000.0,167000.0,88500.0,300500.0,205500.0,46600.0,70900.0,202500.0,66800.0,145500.0,118500.0,690000.0,141701.0,1167093.0,55900.0,41550.0,670637.0,61400.0,521000.0,4076.60009765625,11584.5498046875,34086.0390625,2425.08,317.26
